POST	api/v1/business-hours	business-hours.store	App\Http\Controllers\Api\BusinessHoursController@store	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
POST	api/v1/business-hours/{businessHour}/duplicate	business-hours.duplicate	App\Http\Controllers\Api\BusinessHoursController@duplicate	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
PATCH	api/v1/business-hours/{businessHour}/toggle-status	business-hours.toggle-status	App\Http\Controllers\Api\BusinessHoursController@toggleStatus	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/business-hours/{business_hour}	business-hours.show	App\Http\Controllers\Api\BusinessHoursController@show	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
PUT|PATCH	api/v1/business-hours/{business_hour}	business-hours.update	App\Http\Controllers\Api\BusinessHoursController@update	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
DELETE	api/v1/business-hours/{business_hour}	business-hours.destroy	App\Http\Controllers\Api\BusinessHoursController@destroy	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/call-detail-records	call-detail-records.index	App\Http\Controllers\Api\CallDetailRecordController@index	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/call-detail-records/export	call-detail-records.export	App\Http\Controllers\Api\CallDetailRecordController@export	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/call-detail-records/statistics	call-detail-records.statistics	App\Http\Controllers\Api\CallDetailRecordController@statistics	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/call-detail-records/{call_detail_record}	call-detail-records.show	App\Http\Controllers\Api\CallDetailRecordController@show	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/call-notifications/logs	call-notifications.logs	App\Http\Controllers\Api\CallNotificationsSettingsController@logs	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/call-notifications/logs/{sessionToken}	call-notifications.session-logs	App\Http\Controllers\Api\CallNotificationsSettingsController@sessionLogs	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/call-notifications/rate-limit	call-notifications.rate-limit	App\Http\Controllers\Api\CallNotificationsSettingsController@rateLimit	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/call-notifications/settings	call-notifications.settings.show	App\Http\Controllers\Api\CallNotificationsSettingsController@show	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
POST	api/v1/call-notifications/settings	call-notifications.settings.store	App\Http\Controllers\Api\CallNotificationsSettingsController@store	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
PUT	api/v1/call-notifications/settings	call-notifications.settings.update	App\Http\Controllers\Api\CallNotificationsSettingsController@update	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
DELETE	api/v1/call-notifications/settings	call-notifications.settings.destroy	App\Http\Controllers\Api\CallNotificationsSettingsController@destroy	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
POST	api/v1/call-notifications/settings/test	call-notifications.settings.test	App\Http\Controllers\Api\CallNotificationsSettingsController@test	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/conference-rooms	conference-rooms.index	App\Http\Controllers\Api\ConferenceRoomController@index	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
POST	api/v1/conference-rooms	conference-rooms.store	App\Http\Controllers\Api\ConferenceRoomController@store	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/conference-rooms/{conference_room}	conference-rooms.show	App\Http\Controllers\Api\ConferenceRoomController@show	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
PUT|PATCH	api/v1/conference-rooms/{conference_room}	conference-rooms.update	App\Http\Controllers\Api\ConferenceRoomController@update	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
DELETE	api/v1/conference-rooms/{conference_room}	conference-rooms.destroy	App\Http\Controllers\Api\ConferenceRoomController@destroy	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
GET|HEAD	api/v1/config/application	config.application	App\Http\Controllers\Api\ConfigurationController@index	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
